name
Pelé
Diego Maradona
Ronaldo
Zinedine Zidane
Lionel Messi
Diego Maradona
Pelé
Lionel Messi
Ronaldinho
Ronaldo
Zinedine Zidane
Ferenc Puskás
Johan Cruyff
Lev Yashin
Mané Garrincha
Paolo Maldini
Marco van Basten
Roberto Baggio
Kevin De Bruyne
Robert Lewandowski
Lionel Messi
Ruud Gullit
Carlos Alberto Torres
Thierry Henry
Xavier Hernández
Éric Cantona
Eusébio
Marcos Cafú
Franco Baresi
George Best
Lothar Matthäus
Neymar Jr
Cristiano Ronaldo
Mohamed Salah
Kylian Mbappé
Peter Schmeichel
Raúl González Blanco
Rivaldo
Mohamed Salah
Cristiano Ronaldo
Andrea Pirlo
Ruud van Nistelrooy
Ryan Giggs
Bobby Moore
Samuel Eto'o
Carles Puyol Saforcada
David Beckham
Dennis Bergkamp
Emilio Butragueño
Fabio Cannavaro
Ferenc Puskás
Iker Casillas
Gary Lineker
Hristo Stoichkov
Hugo Sánchez
Javier Zanetti
Kenny Dalglish
Luís Figo
Garrincha
Paolo Maldini
Robert Lewandowski
Alessandro Del Piero
Alessandro Nesta
Karim Benzema
ter Stegen
Harry Kane
N'Golo Kanté
Mohamed Salah
Michael Ballack
Michael Laudrup
Michael Owen
Miroslav Klose
Patrick Kluivert
Patrick Vieira
Paul Scholes
Pavel Nedvěd
Petr Cech
Philipp Lahm
Robert Pirès
Roberto Baggio
David Trezeguet
Didier Drogba
Diego Maradona
Pelé
Edwin van der Sar
Eusébio
Robin van Persie
Fernando Hierro Ruiz
Fernando Torres
Franco Baresi
Gheorghe Hagi
Ian Rush
Johan Cruyff
Riquelme
Kaká
Laurent Blanc
Lev Yashin
Lothar Matthäus
Marcel Desailly
Marco van Basten
Cristiano Ronaldo
Cristiano Ronaldo
Kylian Mbappé
Neymar Jr
Kylian Mbappé
Jan Oblak
Alan Shearer
Roberto Carlos
Ronald Koeman
Wayne Rooney
Ronaldinho
Andriy Shevchenko
Bastian Schweinsteiger
Sócrates
Steven Gerrard
Clarence Seedorf
Zinedine Zidane
Kevin De Bruyne
Gianluigi Donnarumma
Bruno Fernandes
Heung Min Son
Karim Benzema
Pep Guardiola
Juan Sebastián Verón
Kenny Dalglish
Luís Figo
Luis Hernández
Garrincha
Marc Overmars
Luis Suárez
Michael Essien
Nemanja Vidić
Peter Schmeichel
Rio Ferdinand
Rivaldo
Sadio Mané
Heung Min Son
Virgil van Dijk
Casemiro
Erling Haaland
Christian Vieri
Claude Makélélé
Thierry Henry
Xavier Hernández
Davor Šuker
Dennis Bergkamp
Emilio Butragueño
Emmanuel Petit
Éric Cantona
Marcos Cafú
Filippo Inzaghi
Frank Lampard
Frank Rijkaard
George Best
Gianfranco Zola
Henrik Larsson
Hernán Crespo
Hristo Stoichkov
Jari Litmanen
Jay-Jay Okocha
Anderson Luís de Souza
Joshua Kimmich
Ronaldo
Manuel Neuer
Roy Keane
Andrea Pirlo
Rui Manuel César Costa
Ruud Gullit
Ruud van Nistelrooy
Samuel Eto'o
Carles Puyol Saforcada
Carlos Alberto Torres
ter Stegen
N'Golo Kanté
Harry Kane
Mohamed Salah
Alessandro Del Piero
Alessandro Nesta
João Cancelo
Trent Alexander-Arnold
Luis Suárez
Keylor Navas
Pavel Nedvěd
Philipp Lahm
Kaká
Roberto Baggio
Ángel Di María
Leroy Sané
Sergio Ramos García
Marquinhos
Andrew Robertson
Toni Kroos
Timo Werner
Frenkie de Jong
Marco Reus
Bernardo Silva
Rúben Dias
Trent Alexander-Arnold
Marco Verratti
Marquinhos
Ferenc Puskás
Fernando Hierro Ruiz
Iker Casillas
Gary Lineker
Gennaro Gattuso
Gheorghe Hagi
Gianluca Zambrotta
Hugo Sánchez
Ian Rush
Ian Wright
Johan Cruyff
John Barnes
Riquelme
Laurent Blanc
Lev Yashin
Marco van Basten
Michael Ballack
Michael Laudrup
Miroslav Klose
Paul Scholes
Alan Shearer
Ronaldinho
Ashley Cole
Bastian Schweinsteiger
Ryan Giggs
Bobby Moore
Sócrates
Sol Campbell
Steven Gerrard
David Beckham
David Trezeguet
Didier Drogba
Edwin van der Sar
Eusébio
Robin van Persie
Fabio Cannavaro
Gianluigi Donnarumma
Casemiro
Thibaut Courtois
Karim Benzema
Joshua Kimmich
Romelu Lukaku
Heung Min Son
Sadio Mané
Alisson
Virgil van Dijk
Mohamed Salah
Ederson
Mats Hummels
Christopher Nkunku
David Neres Campos
Simon Banza
Tahith Chong
Milan Škriniar
Frenkie de Jong
Christopher Nkunku
Leroy Sané
Sébastien Haller
Gerard Piqué Bernabeu
Niklas Süle
Phil Foden
Daniel Parejo Muñoz
Leon Goretzka
Kalidou Koulibaly
Thomas Müller
João Félix Sequeira
Marc Overmars
Marcel Desailly
Michael Owen
Nemanja Vidić
Paolo Maldini
Patrick Kluivert
Patrick Vieira
Petr Cech
Raúl González Blanco
Rio Ferdinand
Robert Pirès
Wojciech Szczesny
Ciro Immobile
Marquinhos
Andrea Pirlo
Rui Manuel César Costa
Andriy Shevchenko
Christian Vieri
Clarence Seedorf
Xavier Hernández
Emmanuel Petit
Éric Cantona
Marcos Cafú
Fernando Torres
Franco Baresi
Frank Lampard
Frank Rijkaard
George Best
Hidetoshi Nakata
Jari Litmanen
Javier Zanetti
Juan Sebastián Verón
Lothar Matthäus
Luís Figo
Bruno Fernandes
Erling Haaland
Sergio Ramos García
Keylor Navas
Luis Suárez
Roberto Carlos
Wayne Rooney
Ronald Koeman
Alessandro Nesta
Roy Keane
Romelu Lukaku
Toni Kroos
Raheem Sterling
Wissam Ben Yedder
Édouard Mendy
Marcos Llorente
Shunsuke Nakamura
Andreas Christensen
Federico Chiesa
Lukas Nmecha
